Ticker,Fiscal_Year,Period_End_Date,Revenue_Millions_USD,Cost_Of_Revenue_Millions_USD,Gross_Profit_Millions_USD,Net_Income_Millions_USD,Diluted_Shares_Millions,Diluted_EPS_USD,Operating_Cash_Flow_Millions_USD,CapEx_Millions_USD,Free_Cash_Flow_Millions_USD,Total_Cash_Millions_USD,Total_Current_Assets_Millions_USD,Total_Current_Liabilities_Millions_USD,Working_Capital_Millions_USD,Total_Debt_Millions_USD,Total_Assets_Millions_USD,Total_Liabilities_Millions_USD,Total_Equity_Millions_USD,Goodwill_And_Intangibles_Millions_USD,Data_Source
ADBE,2025,2025-11-28,23769.0,2551.0,21218.0,7130.0,427.0,16.698,10031.0,179.0,9852.0,6595.0,10163.0,10200.0,-37.0,0.0,29496.0,17873.0,11623.0,12857.0,SEC EDGAR
ADBE,2024,2024-11-29,21505.0,2358.0,19147.0,5560.0,449.7,12.364,8056.0,183.0,7873.0,7886.0,11232.0,10521.0,711.0,1500.0,30230.0,16125.0,14105.0,12788.0,SEC EDGAR
ADBE,2023,2023-12-01,19409.0,2354.0,17055.0,5428.0,459.1,11.823,7302.0,360.0,6942.0,7842.0,11084.0,8251.0,2833.0,0.0,29779.0,13261.0,16518.0,12805.0,SEC EDGAR
ADBE,2022,2022-12-02,17606.0,2165.0,15441.0,4756.0,470.9,10.1,7838.0,442.0,7396.0,6096.0,8996.0,8128.0,868.0,0.0,27165.0,13114.0,14051.0,12787.0,SEC EDGAR
ADBE,2021,2021-12-03,15785.0,1865.0,13920.0,4822.0,481.0,10.025,7230.0,348.0,6882.0,5798.0,8669.0,6932.0,1737.0,0.0,27241.0,12444.0,14797.0,12668.0,SEC EDGAR
ADBE,2020,2020-11-27,12868.0,1722.0,11146.0,5260.0,485.5,10.834,5727.0,419.0,5308.0,5992.0,8146.0,5512.0,2634.0,0.0,24284.0,11020.0,13264.0,10742.0,SEC EDGAR
ADBE,2019,2019-11-29,11171.0,1673.0,9498.0,2951.0,491.6,6.003,4422.0,395.0,4027.0,4176.976,6494.925,8190.938,-1696.013,0.0,20762.4,10232.245,10530.155,10691.199,SEC EDGAR
ADBE,2018,2018-11-30,9030.0,1195.0,7835.0,2591.0,497.8,5.205,4029.0,267.0,3762.0,3228.962,4857.039,4301.126,555.913,0.0,18768.682,9406.568,9362.114,10581.048,SEC EDGAR
ADBE,2017,2017-12-01,7301.505,1010.491,6291.014,1693.954,501.123,3.38,2912.853,178.122,2734.731,5819.774,7247.813,3527.457,3720.356,0.0,14535.556,6075.687,8459.869,5821.561,SEC EDGAR
ADBE,2016,2016-12-02,5854.43,819.908,5034.522,1168.782,504.299,2.318,2199.728,203.805,1995.923,4761.3,5839.774,2811.635,3028.139,0.0,12707.114,5282.279,7424.835,5406.474,SEC EDGAR
ADBE,2015,2015-11-27,4795.511,744.317,4051.194,629.551,507.164,1.241,1469.502,184.936,1284.566,3988.084,4821.892,2213.556,2608.336,0.0,11726.472,4724.892,7001.58,5366.881,SEC EDGAR
ADBE,2014,2014-11-28,4147.065,622.08,3524.985,268.395,508.48,0.528,1287.482,148.332,1139.15,3739.491,4602.328,2494.435,2107.893,1514.315,10785.829,4009.924,6775.905,4721.962,SEC EDGAR
ADBE,2013,2013-11-29,4055.24,586.557,3468.683,289.985,513.476,0.565,1151.686,188.358,963.328,3173.752,4045.929,1525.648,2520.281,14.676,10380.298,3655.664,6724.634,4771.981,SEC EDGAR
ADBE,2012,2012-11-30,4403.677,483.782,3919.895,832.775,502.721,1.657,1499.58,271.076,1228.504,3538.353,4331.36,1271.752,3059.608,0.0,9974.523,3309.341,6665.182,4133.259,SEC EDGAR
ADBE,2011,2011-12-02,4216.258,437.873,3778.385,832.847,503.921,1.653,1543.314,210.294,1333.02,2911.692,3771.451,1250.779,2520.672,0.0,8991.183,3208.07,5783.113,3849.217,SEC EDGAR
ADBE,2010,2010-12-03,3800.0,403.502,3396.498,774.68,525.824,1.473,1112.995,169.642,943.353,2468.015,3216.05,1068.088,2147.962,0.0,8141.148,2948.761,5192.387,3641.844,SEC EDGAR
ADBE,2009,2009-11-27,2945.853,296.732,2649.121,386.508,530.61,0.728,1117.794,119.592,998.202,1904.473,2473.624,844.553,1629.071,1000.0,7282.237,2391.669,4890.568,3494.589,SEC EDGAR
ADBE,2008,2008-11-28,3579.889,362.63,3217.259,871.814,548.553,1.589,1280.682,111.792,1168.89,2019.202,2735.103,762.599,1972.504,350.0,5821.598,1411.244,4410.354,2134.73,SEC EDGAR
ADBE,2007,2007-11-30,3157.881,354.694,2803.187,723.807,598.775,1.209,1441.053,132.075,1308.978,946.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEC EDGAR
AMD,2025,2025-12-27,34639.0,17487.0,17152.0,4335.0,1636.0,2.65,7709.0,974.0,6735.0,10552.0,26947.0,9455.0,17492.0,4096.0,76926.0,0.0,76926.0,41831.0,SEC EDGAR
AMD,2024,2024-12-28,25785.0,13060.0,12725.0,1641.0,1637.0,1.002,3041.0,636.0,2405.0,5132.0,19049.0,7281.0,11768.0,1721.0,69226.0,0.0,69226.0,43769.0,SEC EDGAR
AMD,2023,2023-12-30,22680.0,12220.0,10460.0,854.0,1625.0,0.526,1667.0,546.0,1121.0,5773.0,16768.0,6689.0,10079.0,3219.0,67885.0,0.0,67885.0,45625.0,SEC EDGAR
AMD,2022,2022-12-31,23601.0,12998.0,10603.0,1320.0,1571.0,0.84,3565.0,450.0,3115.0,5855.0,15019.0,6369.0,8650.0,2467.0,67580.0,0.0,67580.0,48295.0,SEC EDGAR
AMD,2021,2021-12-25,16434.0,8505.0,7929.0,3162.0,1229.0,2.573,3521.0,301.0,3220.0,3608.0,8583.0,4240.0,4343.0,313.0,12419.0,0.0,12419.0,289.0,SEC EDGAR
AMD,2020,2020-12-26,9763.0,5416.0,4347.0,2490.0,1207.0,2.063,1071.0,294.0,777.0,2290.0,6143.0,2417.0,3726.0,330.0,8962.0,0.0,8962.0,289.0,SEC EDGAR
AMD,2019,2019-12-28,6731.0,3863.0,2868.0,341.0,1120.0,0.304,493.0,217.0,276.0,1503.0,4597.0,2359.0,2238.0,486.0,6028.0,0.0,6028.0,289.0,SEC EDGAR
AMD,2018,2018-12-29,6475.0,4028.0,2447.0,337.0,1064.0,0.317,34.0,163.0,-129.0,1078.0,3540.0,1984.0,1556.0,1114.0,4556.0,0.0,4556.0,289.0,SEC EDGAR
